protocol_id,preprocessing_protocol,trace_protocol,kernel_normalization,q,model,baseline,mean_f1,std_f1,baseline_mean_f1,baseline_std_f1,delta_f1,wins,ties,losses,seeds
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,4,merlin_fidelity,linear_c1,0.7578137720157355,0.13158703829952287,0.7580087757731289,0.07952045503460121,-0.00019500375739336384,6,0,4,10
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,4,merlin_fidelity,rbf_tuned,0.7578137720157355,0.13158703829952287,0.7599634857895727,0.12126183894844912,-0.002149713773837203,4,2,4,10
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,6,merlin_fidelity,linear_c1,0.7700213521593771,0.09642693513159886,0.7860083326145589,0.09489493690862844,-0.01598698045518184,2,3,5,10
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,6,merlin_fidelity,rbf_tuned,0.7700213521593771,0.09642693513159886,0.8189126034517635,0.09055931941563736,-0.04889125129238634,1,1,8,10
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,4,qsvm,linear_c1,0.8089471111676995,0.05934030156735076,0.7580087757731289,0.07952045503460121,0.0509383353945705,7,0,3,10
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,4,qsvm,rbf_tuned,0.8089471111676995,0.05934030156735076,0.7599634857895727,0.12126183894844912,0.04898362537812666,6,1,3,10
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,6,qsvm,linear_c1,0.8221052931311551,0.07791171259629721,0.7860083326145589,0.09489493690862844,0.0360969605165963,7,0,3,10
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,6,qsvm,rbf_tuned,0.8221052931311551,0.07791171259629721,0.8189126034517635,0.09055931941563736,0.0031926896793918027,4,1,5,10
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,4,merlin_fidelity,linear_c1,0.0,0.0,0.7580087757731289,0.07952045503460121,-0.7580087757731289,0,0,10,10
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,4,merlin_fidelity,rbf_tuned,0.0,0.0,0.7599634857895727,0.12126183894844912,-0.7599634857895727,0,0,10,10
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,6,merlin_fidelity,linear_c1,0.0,0.0,0.7860083326145589,0.09489493690862844,-0.7860083326145589,0,0,10,10
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,6,merlin_fidelity,rbf_tuned,0.0,0.0,0.8189126034517635,0.09055931941563736,-0.8189126034517635,0,0,10,10
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,4,qsvm,linear_c1,0.0,0.0,0.7580087757731289,0.07952045503460121,-0.7580087757731289,0,0,10,10
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,4,qsvm,rbf_tuned,0.0,0.0,0.7599634857895727,0.12126183894844912,-0.7599634857895727,0,0,10,10
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,6,qsvm,linear_c1,0.0,0.0,0.7860083326145589,0.09489493690862844,-0.7860083326145589,0,0,10,10
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,6,qsvm,rbf_tuned,0.0,0.0,0.8189126034517635,0.09055931941563736,-0.8189126034517635,0,0,10,10
train_only__legacy_trace,train_only,,none,4,merlin_fidelity,linear_c1,0.7554328196347831,0.13361922693798772,0.7580087757731289,0.07952045503460121,-0.0025759561383457362,6,0,4,10
